id,description,bestby,price
547,Vegetable Lentil Soup,10-06-2026,620.13
548,Balsamic Fig Dressing,21-05-2026,562.79
549,Chocolate Fudge Ice Cream,30-05-2026,4327.22
550,Fitness Balance Ball,04-12-2025,3978.94
551,Pressure Washer Accessories Kit,16-07-2026,2312.18
552,Bamboo Memory Foam Pillow,29-12-2025,189.49
553,Chocolate Almond Milk,21-04-2026,733.13
554,Radish Chips,24-11-2025,2165.85
555,Luxury Bath Salts,13-08-2025,1943.01
556,Self-Watering Planters,24-09-2025,4402.54
557,Maple Chipotle Glaze,21-07-2026,4731.91
558,Digital Meat Thermometer,05-05-2026,1665.69
559,Ground Cinnamon,16-06-2026,1279.65
560,Organic Brown Rice Cakes,09-12-2025,1996.78
561,Pesto Pasta Salad,26-05-2026,21.13
562,Classic Leather Wallet,23-08-2025,4794.99
563,Honey Sesame Chicken Mix,18-01-2026,2724.57
564,Ankle Boots,03-01-2026,4540.96
565,Outdoor Inflatable Pool,21-02-2026,1964.57
566,Travel Shoe Bags Set,27-12-2025,4940.77
567,Cabbage Slaw Mix,29-09-2025,835.07
568,Educational STEM Kit,15-08-2025,249.90
569,Caramelized Onion Dip Mix,27-09-2025,4443.71
570,Hummus Variety Pack,22-08-2025,308.71
571,Pork Chops,11-12-2025,2164.64
572,Two-Tier Fruit Basket,16-09-2025,3391.47
573,Classic Black Dress,04-07-2026,4102.91
574,Weighted Blanket for Adults,15-06-2026,550.22
575,Portable Pet Pooper Scooper,28-02-2026,1737.33
576,Banana Chips,22-02-2026,4633.97
577,Smoky BBQ Jackfruit,27-12-2025,96.20
578,Chili Lime Seasoning,16-11-2025,2323.65
579,Coconut Almond Granola,23-04-2026,3545.34
580,Incense Holder,11-08-2026,3234.87
581,Mini Hand Gesture Drone,20-03-2026,2485.31
582,Vegetable Broth,11-05-2026,894.85
583,Kitchen Knife Sharpening System,10-12-2025,4315.80
584,Outdoor Adventure Kit,06-08-2026,211.77
585,Pet Travel Bowl,06-09-2025,4022.68
586,Motorcycle Phone Mount,18-12-2025,393.99
587,Fruit & Nut Trail Mix,11-08-2026,3077.50
588,Portable Solar Camp Shower,28-06-2026,1487.76
589,Garlic Herb Grilled Chicken,01-07-2026,4071.78
590,Aged White Cheddar Popcorn,28-08-2025,1348.89
591,Sliced Cheese,24-02-2026,142.89
592,Roasted Sweet Corn,16-08-2025,922.64
593,Compact Folding Table,01-11-2025,4174.57
594,Cat Tree,25-08-2025,4147.65
595,Tandoori Chicken Skewers,24-07-2026,640.76
596,Vegan Mayonnaise,12-07-2026,4682.61
597,Instant Mashed Potatoes,20-03-2026,3775.10
598,Maple Cinnamon Granola,22-05-2026,3835.34
599,Fitness Balance Ball,22-06-2026,1527.08
600,Baby Safety Corner Guards,21-01-2026,2679.14
601,Pasta (Linguine),30-04-2026,3860.47
602,Curried Lentil Salad,04-11-2025,4915.70
603,Ice Pack,24-06-2026,3169.70
604,Travel Document Organizer,26-01-2026,2470.25
605,Heavy Duty Gardening Tool Set,22-10-2025,956.25
606,Black Bean Salsa,06-05-2026,4081.24
607,Frozen Burritos,09-06-2026,4292.57
608,Spicy Thai Coconut Soup,25-05-2026,1305.70
609,Kitchen Knife Sharpening System,17-01-2026,3978.85
610,Pineapple Teriyaki Chicken Mix,25-01-2026,2089.93
611,Pepperoni Pizza Rolls,30-04-2026,3572.06
612,Heat-Resistant Silicone Mat,29-01-2026,2977.11
613,Basil-infused Olive Oil,20-10-2025,1015.49
614,Dried Apricots,09-02-2026,4763.89
615,Organic Tomato Ketchup,14-11-2025,3228.38
616,Chocolate Chip Cliff Bars,27-04-2026,2965.41
617,Travel Size Toiletry Bottles,17-07-2026,2901.98
618,Eco-Friendly Beeswax Wraps,20-03-2026,497.81
619,Home Brewing Starter Kit,25-08-2025,4827.12
620,Maple Oatmeal,05-03-2026,3801.21
621,Air Fryer Oven,08-06-2026,4579.59
622,Cranberry Orange Juice,01-06-2026,3103.42
623,Cooking Utensil Set,23-05-2026,3848.45
624,Eco-Friendly Cleaning Cloths,25-03-2026,1238.60
625,Mini Cordless Vacuum Cleaner,20-01-2026,1641.23
626,BBQ Jackfruit,19-03-2026,879.60
627,Rice Pudding,15-02-2026,2757.52
628,Personalized Cutting Board,06-04-2026,3967.96
629,Kale Chips,19-09-2025,1381.77
630,Emergency Preparedness Kit,19-07-2026,4460.42
631,Trainers with Mesh Inserts,18-11-2025,4221.11
632,Honey BBQ Ribs,15-11-2025,1077.35
633,Creamy Garlic Dressing,20-06-2026,2219.64
634,Adjustable Laptop Desk,07-12-2025,2425.43
635,Bamboo Cotton Tank Top,30-04-2026,4986.06
636,Oven Mitts,13-01-2026,4399.47
637,Electric Bike,07-01-2026,2074.74
638,Cucumber Relish,24-12-2025,2866.48
639,Multi-Layer Food Steamer,10-10-2025,1353.79
640,Popcorn Chicken,01-12-2025,1360.25
641,Garlic Herb Marinade,15-12-2025,4929.66
642,Mini Projector for Smartphones,06-07-2026,156.39
643,Fishing Tackle Box,23-10-2025,3685.32
644,Free-Range Eggs,20-07-2026,3000.68
645,Vegan Caesar Dressing,18-11-2025,3144.53
646,Gaming Headset,11-07-2026,4018.42
647,Halloween Decoration Set,23-05-2026,3206.92
648,Honey Wheat Pretzels,02-04-2026,2435.45
649,Electric Rice Cooker,04-06-2026,2191.39
650,Wireless Gaming Headset,28-03-2026,1082.84
651,Almond Crunch Granola Bars,13-10-2025,4010.36
652,Sliced Avocado,06-01-2026,1794.13
653,Coconut Oil Spray,31-03-2026,799.69
654,Cucumber,04-04-2026,4207.20
655,Watercolor Brush Pens,05-09-2025,2383.79
656,Chia Seed Pudding Mix,06-06-2026,53.48
657,Robot Vacuum Cleaner,24-06-2026,914.51
658,Dish Soap Dispenser,12-01-2026,3169.24
659,High-Low Hem Tee,02-02-2026,2545.01
660,Pepperoni Pizza Rolls,25-01-2026,4298.27
661,Puzzle Mat,06-05-2026,366.22
662,Organic Black Bean Burger,26-11-2025,794.05
663,Chocolate Coconut Granola,18-10-2025,3189.97
664,Beef Sirloin Steak,07-12-2025,2419.56
665,Silicone Baking Cups,02-09-2025,2805.46
666,Organic Italian Seasoning,20-05-2026,2119.75
667,Travel Yoga Mat,29-01-2026,1005.68
668,Pineapple Salsa,17-04-2026,3791.12
669,Ultraviolet Phone Sanitizer,24-10-2025,1195.77
670,Children's Backpack,08-01-2026,879.44
671,Fruit Medley Juice,22-01-2026,4427.25
672,Wireless Gaming Headset,05-07-2026,4938.31
673,Air Mattress,04-09-2025,3433.93
674,Pet Grooming Gloves,12-02-2026,1009.21
675,Cranberry Orange Juice,30-10-2025,4037.86
676,Lentil Vegetable Curry,15-07-2026,4312.81
677,Car Emergency Kit,02-04-2026,3032.21
678,Bluetooth Tracker,02-02-2026,4646.52
679,Multi-Cooker,10-02-2026,4771.17
680,Chili Beans in Sauce,09-06-2026,4533.73
681,Over-the-Door Hooks,09-09-2025,1958.42
682,Ginger Tea,02-01-2026,1173.25
683,Creamy Garlic Dressing,22-03-2026,3639.59
684,Hiking Boots,13-11-2025,3404.23
685,Herbed Mushroom Risotto,10-04-2026,3623.24
686,Peach Preserves,02-02-2026,741.46
687,Air Purifier,14-07-2026,239.26
688,Dog Walking Waist Pack,05-08-2026,2784.52
689,Asian Stir-Fry Vegetables,10-01-2026,3977.81
690,Ceramic Knife Set,05-12-2025,4039.32
691,Cinnamon Sugar Popcorn,09-12-2025,1927.99
692,Honey Sriracha Chicken Bites,12-02-2026,1636.88
693,Computer Monitor Stand,12-12-2025,431.96
694,Car Windshield Sun Shade,18-07-2026,1681.16
695,Spicy Roasted Nuts,11-09-2025,1952.43
696,Organic Fruit Salad,03-10-2025,4499.02
697,Electric Heating Pad,08-04-2026,4333.43
698,Surimi Crab Sticks,15-04-2026,1101.14
699,Green Tea Matcha Powder,22-11-2025,127.78
700,Coconut Bowls Set,20-12-2025,3517.10
701,Gardening Tools Set,26-05-2026,1080.23
702,Adjustable Pet Feeder,06-02-2026,3320.02
703,Premium Flashlight,30-11-2025,4705.74
704,Printed Maxi Skirt,02-08-2026,22.40
705,Travel Sewing Kit,28-05-2026,1657.22
706,Cinnamon Sugar Mix,12-08-2025,2861.41
707,Organic Whole Wheat Flour,25-01-2026,1367.50
708,Portable Dog Water Bottle,03-06-2026,1287.31
709,Elderberry Syrup,14-01-2026,3040.85
710,Italian Herb Balsamic Marinade,09-10-2025,3062.58
711,Non-Stick Grill Mat,29-09-2025,3756.02
712,Non-Stick Crepe Pan,18-08-2025,42.91
713,Lemon Sorbet,22-10-2025,3213.65
714,Pressure Washer Accessories Kit,24-03-2026,3193.97
715,Sea Salt Tortilla Chips,15-08-2025,4787.15
716,Adjustable Pet Feeder,11-01-2026,108.35
717,DIY Organic Gardening Kit,16-03-2026,2461.01
718,Hand Mixer,23-09-2025,1402.37
719,Baked Potato Chips,11-12-2025,694.65
720,Chic Ankle Strap Heels,15-09-2025,1878.97
721,Wireless Security System,03-10-2025,2544.68
722,Leather Notebook Cover,11-12-2025,2420.40
723,Maple Syrup,12-02-2026,4155.70
724,Adjustable Yoga Mat Strap,27-05-2026,33.50
725,Wireless Security Camera,21-02-2026,3309.49
726,Mesh Sports Leggings,14-10-2025,1118.58
727,Peach Fruit Cups,23-12-2025,2468.50
728,Classic Cheeseburger Mix,04-09-2025,1708.86
729,Memory Foam Pillow,24-04-2026,2218.66
730,Luxury Rolling Makeup Case,01-05-2026,473.78
731,Whole Wheat Bread,01-06-2026,3020.56
732,Chipotle Black Bean Burger,26-11-2025,1421.21
733,Non-Stick Grill Mat,17-06-2026,915.39
734,Portable Pet Bathing Tool,24-11-2025,3488.91
735,Sunflower Seeds,07-11-2025,3340.07
736,Ginger Tea,12-06-2026,2489.45
737,Multi-Functional Rice Cooker,15-04-2026,3423.73
738,Rainbow Veggie Chips,17-07-2026,3865.28
739,Rainbow Veggie Chips,19-08-2025,2095.30
740,Strawberry Fruit Spread,12-02-2026,2416.17
741,Smartphone Holder for Car,16-02-2026,308.80
742,Collapsible Camping Cup,07-04-2026,33.29
743,Baby Safety Corner Guards,24-10-2025,379.52
744,Blackberry Compote,20-09-2025,2117.37
745,Solar Power Bank,28-07-2026,4307.65
746,Garden Tool Belt,31-12-2025,439.73
747,Sliced Cucumbers,28-05-2026,2664.47
748,Electric Kettle,09-05-2026,1213.93
749,Carrot Sticks,17-05-2026,2645.37
750,Lemonade Mix,15-02-2026,4965.25
751,Apple Sauce,07-08-2026,1359.31
752,Stainless Steel Cutlery Set,17-02-2026,4028.82
753,Vegetable Curry,01-02-2026,4263.50
754,Fresh Strawberries,19-06-2026,4522.88
755,Marinated Artichokes,26-10-2025,2266.90
756,Tomatillo Salsa,02-10-2025,2563.40
757,Organic Apples,09-10-2025,1838.36
758,Greek Yogurt,05-06-2026,85.23
759,Overnight Duffle Bag,22-12-2025,2747.76
760,Yoga Blocks,09-09-2025,3974.17
761,Scent Diffuser,03-05-2026,1244.68
762,Chickpea Flour,05-12-2025,883.60
763,Travel Pillow with Memory Foam,27-02-2026,1722.47
764,Teriyaki Sauce,08-04-2026,1051.45
765,Organic Almond Flour,26-12-2025,1532.13
766,Bike Repair Tool Kit,14-03-2026,2097.09
767,Coconut Flakes,11-11-2025,1750.49
768,Honey Ginger Tea,17-05-2026,990.29
769,Pressure Washer Accessories Kit,15-04-2026,190.47
770,Digital Food Thermometer,25-03-2026,841.33
771,Italian Marinara Sauce,16-07-2026,1450.71
772,Vintage Button-Down Shirt,31-10-2025,2883.99
773,Portable Water Filter,30-05-2026,2396.57
774,Foot Massager,12-12-2025,4864.39
775,Paint By Numbers Kit,07-09-2025,1600.41
776,Creamy Avocado Dip,17-10-2025,3425.77
777,Peach Yogurt,02-09-2025,3172.77
778,Compact Electric Kettle,23-06-2026,4378.17
779,Smart Wi-Fi Camera,14-09-2025,4649.73
780,Greek Yogurt Parfait,26-03-2026,981.41
781,Chipotle Lime Salsa,06-08-2026,1378.37
782,Tailored Blazer,28-04-2026,275.07
783,Rechargeable Electric Toothbrush,19-09-2025,486.27
784,Cocktail Shaker and Mixing Glass Set,17-03-2026,4320.85
785,LED Under Cabinet Lighting,12-04-2026,4517.87
786,Samoas Cookie Mix,08-10-2025,2368.53
787,Smoked Gouda Cheese,27-07-2026,1614.60
788,Cranberry Almond Cookies,21-09-2025,1458.58
789,Smartwatch,30-12-2025,1130.06
790,Smartphone UV Sanitizer,21-09-2025,3041.60
791,Robot Vacuum Cleaner,22-03-2026,2497.58
792,Wi-Fi Enabled Smart Light Switch,11-07-2026,892.52
793,Toy Building Set,15-10-2025,3455.33
794,Thai Basil Fried Rice,27-10-2025,492.12
795,LED Christmas Tree Lights,22-12-2025,3066.45
796,Creamy Avocado Dip,01-04-2026,876.14
797,Wireless Gaming Headset,16-06-2026,320.78
798,Outdoor Camping Hammock,19-04-2026,3068.49
799,Smartphone Holder for Car,10-06-2026,2707.79
800,Chocolate Chip Cookie Dough,13-08-2025,2843.14
801,Smart WiFi Plug,07-12-2025,2242.86
802,Weighted Blanket,10-04-2026,3438.19
803,Spicy Hummus,23-02-2026,4707.54
804,Kids' Science Experiment Kit,26-08-2025,997.80
805,Electric Kettle,27-09-2025,3117.56
806,Digital Photo Frame,24-12-2025,1396.14
807,Mango Chutney,04-03-2026,2389.17
808,Mango Chia Pudding,18-09-2025,2072.24
809,Wild Rice Pilaf,16-11-2025,1543.57
810,DIY Lip Balm Making Kit,16-04-2026,2619.52
811,Chocolate Almond Milk,20-10-2025,2563.45
812,Water-Resistant Bluetooth Speaker,18-11-2025,8.64
813,Toilet Paper (12 rolls),22-10-2025,880.59
814,Magnetic Phone Case,23-03-2026,2389.71
815,Spinach Pizza Rolls,28-07-2026,56.62
816,Tofu,18-05-2026,3028.57
817,Spice Rack,27-02-2026,764.28
818,Portable Solar Phone Charger,30-08-2025,3579.39
819,Caraway Rye Bread,08-04-2026,2275.98
820,Herbed Chicken Breast,21-07-2026,4554.52
821,Wild Rice & Quinoa Mix,02-03-2026,4632.84
822,Chicken Broth,23-12-2025,494.72
823,Ethical Wool Scarf,05-11-2025,667.94
824,Microfiber Cleaning Cloths,29-05-2026,1136.48
825,Adjustable Stand for Tablets and Smartphones,29-01-2026,1856.14
826,Coconut Milk,25-06-2026,4281.48
827,Chili Beans in Sauce,20-10-2025,1394.68
828,Pineapple Rings,25-01-2026,3684.13
829,Memory Foam Pillow,02-03-2026,610.30
830,Kale and Quinoa Salad,25-05-2026,4485.76
831,Desk Organizer Set,10-03-2026,201.68
832,Pear and Gorgonzola Salad,12-09-2025,2031.33
833,Electric Pressure Washer,26-10-2025,2172.35
834,Pressure Washer Accessories Kit,19-02-2026,3790.43
835,Garlic Herb Cream Cheese,21-07-2026,2507.19
836,Children's Garden Tool Set,20-07-2026,4593.03
837,Smartphone Photography Tripod,26-09-2025,1589.40
838,Scented Candle Set,07-04-2026,104.81
839,Reusable Produce Bags Set,22-01-2026,3702.93
840,Crafting Kit,27-03-2026,3743.98
841,Wrap Jumpsuit,23-04-2026,1203.53
842,Spicy Tuna Salad,12-11-2025,1031.73
843,LED Makeup Mirror,19-10-2025,2719.21
844,Matcha Green Tea Powder,04-04-2026,2660.68
845,Low-Fat Cottage Cheese,29-06-2026,771.33
846,Classic Black Trousers,30-12-2025,2029.58
847,Sun Protection Clothing,22-07-2026,1789.46
848,Home Brewing Starter Kit,22-04-2026,2657.51
849,Sour Cream,10-09-2025,2968.27
850,Sliced Olives,27-08-2025,2460.95
851,Active Racerback Tank,30-04-2026,3422.16
852,Chocolate Fudge Brownie Mix,29-05-2026,348.42
853,Cotton Quilted Throw Blanket,09-03-2026,93.30
854,Graphic Tee,02-03-2026,734.01
855,Coconut Yogurt,27-02-2026,1668.09
856,Trendy Bomber Jacket,03-04-2026,3682.90
857,Bluetooth Sleep Headphones,28-06-2026,985.69
858,Almond Joy Snack Bars,09-03-2026,3126.65
859,Training Soccer Ball,06-06-2026,3815.45
860,Sea Salt Caramel Popcorn,11-10-2025,3597.22
861,Sports Bottle,10-07-2026,523.02
862,Adjustable Standing Desk,02-09-2025,3307.32
863,Chili Lime Shrimp,29-04-2026,4840.89
864,Coconut Curry Chicken,28-02-2026,1584.26
865,Organic Tomato Ketchup,24-01-2026,4965.46
866,Oven-Baked Cheese Crisps,22-12-2025,2317.26
867,Portable Leaf Blower,04-09-2025,1635.43
868,Quinoa and Kale Salad Kit,14-03-2026,862.97
869,Roasted Garlic Aioli,22-12-2025,1814.87
870,Multi-Cooker,21-05-2026,4240.58
871,Art Supplies Organizer,18-01-2026,1843.40
872,Coconut Lime Rice,11-12-2025,4648.24
873,Smart Wi-Fi Camera,02-08-2026,4522.07
874,Sooji (Semolina),14-08-2025,4571.59
875,Instant Read Meat Thermometer,17-05-2026,923.95
876,Oven Mitts,10-09-2025,1619.47
877,Customizable Photo Calendar,28-08-2025,4482.71
878,Puffer Winter Coat,09-09-2025,4503.94
879,Portable Water Filter,04-12-2025,2883.83
880,Granola,30-04-2026,3797.28
881,Thai Basil Fried Rice,04-03-2026,3710.81
882,Feta Cheese Crumbles,22-11-2025,513.98
883,Protein Powder,18-07-2026,2735.97
884,Silicone Baking Mat Set,15-01-2026,4356.10
885,Lentil Soup,23-06-2026,4469.85
886,Wireless Charger Stand,16-03-2026,3803.17
887,Vegan Chickpea Salad,18-10-2025,2763.21
888,Brown Sugar,26-05-2026,623.70
889,Carrot Ginger Soup,07-10-2025,3780.58
890,Gaming Mousepad,26-03-2026,1395.76
891,Wild Rice Pilaf,11-01-2026,4956.70
892,Spicy Thai Coconut Soup,03-07-2026,1212.70
893,Vegetable Chips,28-07-2026,2417.07
894,Maple Pecan Oatmeal Cookies,14-03-2026,2021.28
895,Garden Vegetable Chips,07-03-2026,2810.93
896,Wireless Charger Stand,24-08-2025,1398.87
897,Bike Helmet,07-08-2026,2589.19
898,Ergonomic Mouse Pad with Wrist Support,09-07-2026,1651.72
899,Vegetable Fried Rice Mix,18-09-2025,284.17
900,Tomato Sauce,31-05-2026,2027.89
901,Body Wash,05-10-2025,1272.78
902,Eggs (dozen),14-07-2026,985.23
903,Cheese Stuffed Jalapenos,09-04-2026,3662.73
904,Handheld Shower Head,01-10-2025,772.92
905,Coconut Yogurt,29-04-2026,4967.20
906,Chocolate Covered Pretzels,28-06-2026,4487.00
907,Chili Con Carne Mix,15-11-2025,2093.47
908,Craft Beer Mustard,14-04-2026,3300.81
909,Coconut Water,30-04-2026,390.16
910,Cinnamon Rolls,18-05-2026,2898.32
911,Mini Indoor Hydroponic Garden,12-12-2025,362.19
912,Savory Italian Herbs,03-10-2025,4289.99
913,Compact Portable Grill,16-03-2026,350.64
914,Chickpea Salad Deluxe,01-02-2026,484.37
915,Smart Plug,05-12-2025,375.00
916,Almond Joy Munch Bars,24-12-2025,642.50
917,Electric Can Opener,06-06-2026,4174.53
918,Organic Black Rice,09-01-2026,2963.83
919,Herbal Garden Starter Kit,26-07-2026,2876.72
920,Lemon Lime Sparkling Water,12-11-2025,3346.32
921,Dog Training Whistle,25-08-2025,2641.93
922,Kids' Trampoline,04-08-2026,3103.02
923,Casual Long Cardigan,30-10-2025,2838.58
924,Chickpea Pancakes,09-04-2026,2159.80
925,Lightweight Travel Backpack,28-01-2026,4080.76
926,Rice Cakes,04-11-2025,3426.92
927,Chili Con Carne Mix,24-10-2025,4310.15
928,Portable Jump Starter,08-12-2025,3879.89
929,Kitchen Scale,02-02-2026,4785.63
930,Savory Oats,24-12-2025,4902.88
931,Board Game Storage,19-08-2025,4612.63
932,Greek Yogurt,03-03-2026,4675.63
933,Tropical Fruit Bowl,26-09-2025,2148.51
934,Body Wash,14-12-2025,3624.81
935,Pepper Jack Cheese Sticks,30-04-2026,4105.16
936,Nordic Berry Smoothie,29-11-2025,2068.25
937,Fitness Balance Ball,09-02-2026,660.97
938,Cabbage Slaw Mix,06-07-2026,3115.43
939,Cereal Dispenser with Portion Control,07-09-2025,381.09
940,Salsa Verde,17-05-2026,2528.99
941,Basil Lemonade,23-01-2026,2059.71
942,Compact Umbrella,09-01-2026,4485.24
943,Coconut Almond Granola,13-12-2025,3136.13
944,Hot Dog Buns,24-01-2026,4278.31
945,Organic Cucumber,25-02-2026,1809.26
946,Electric Griddle with Lid,10-12-2025,1781.39
947,Almond Crunch Granola Bars,13-01-2026,1956.72
948,Organic Vanilla Bean Ice Cream,12-06-2026,138.63
949,Chocolate Mint Protein Shake,24-09-2025,327.69
950,Eggs (dozen),24-02-2026,1511.38
951,Set of Measuring Spoons,20-12-2025,2907.75
952,Shower Curtain Hooks,19-02-2026,4325.09
953,Self-Cleaning Cat Litter Box,27-03-2026,470.54
954,Pet Activity Tracker,06-06-2026,456.19
955,Outdoor Fire Pit,27-08-2025,3871.53
956,Ceramic Non-Stick Frying Pan,23-02-2026,46.01
957,Creamy Avocado Dip,04-05-2026,2860.89
958,Brown Rice,21-12-2025,4922.28
959,Smartphone UV Sanitizer,09-11-2025,4684.09
960,Folding Backpack Chair,13-07-2026,3386.79
961,Organic Apples,06-01-2026,3966.55
962,Ceramic Cookware Set,12-12-2025,4963.80
963,Stainless Steel BBQ Grill Set,30-07-2026,3808.03
964,Tuna Fish (canned),18-02-2026,3838.64
965,Classic Caesar Dressing,22-04-2026,4394.99
966,Adjustable Kneeling Pad,14-01-2026,2075.98
967,Plant Growing Kit,12-11-2025,3599.54
968,Memory Foam Mattress Topper,31-03-2026,1679.48
969,Flavored Popcorn Mix,03-03-2026,2140.19
970,Car Vacuum Cleaner,26-12-2025,830.69
971,Buffalo Stilton Cheese,29-05-2026,408.12
972,Chia Seed Pudding Mix,20-11-2025,2709.38
973,Pleated Midi Dress,16-08-2025,712.76
974,Interactive Robot Toy,13-02-2026,4232.07
975,Personal Blender,11-07-2026,3206.16
976,Sweet Potatoes (organic),24-08-2025,1077.44
977,Lemon Garlic Shrimp,13-06-2026,4493.40
978,Caramel Apple Taffy,27-04-2026,4881.04
979,Maple Syrup,22-09-2025,1691.83
980,Energy Protein Bars,19-06-2026,2569.35
981,Wine Decanter,14-02-2026,2252.97
982,Coconut Curry Chicken,03-09-2025,3681.53
983,Non-Stick Baking Sheet,04-07-2026,4712.25
984,Organic Coconut Sugar,14-04-2026,3541.81
985,Pet Training Clicker,02-11-2025,915.98
986,Bamboo Utensil Set,13-01-2026,152.82
987,Mechanical Keyboard,14-11-2025,3410.83
988,Shoe Organizer,05-07-2026,1420.11
989,Electronic Drum Kit,11-01-2026,2778.86
990,Portable Charcoal Grill,02-07-2026,3456.03
991,Home Brewing Starter Kit,07-07-2026,3084.20
992,Multi-Layer Food Steamer,25-07-2026,4743.35
993,Cheesy Cauliflower Bake,17-01-2026,2975.25
994,Lightweight Travel Backpack,12-07-2026,3658.69
995,Coconut Milk,01-08-2026,2988.96
996,Organic Tomato Soup,11-07-2026,756.43
997,Brown Sugar,21-04-2026,4312.26
998,Bluetooth Tracker,12-04-2026,1342.21
999,Laptop Backpack,19-07-2026,3783.90
1000,Homemade Salsa,29-01-2026,4305.75
